CACHE_10	CodeBarreId
ChantierId	ChantierId
CODE_DEPARTEMENT	AssigneDepartement
CODE_GESTIONNAIRE_REDAC	AssigneRedacteur
CODE_MAJ	ModifiePar
CODE_ORIGINE	CodeOrigine
CODE_PIECE	CanalSecondaire
CODE_REDACTEUR_DEPOSE	DeposePar
CODE_REDACTEUR_QUALITE	QualiteValideePar
CODE_REDACTEUR_TRAITE_DOC	TraitePar
CODE_REDACTEUR_VISU	VuPar
CODE_SOUS_DOSSIER	SousDossierSinistre
CodeAssureur	AssureurId
Commentaire	Commentaire
COTE	CategoriesCote
DATE_DOCUMENT	DateDocument
DATE_INTEGRATION	DeposeLe
DATE_MAJ	ModifieLe
DATE_NUM	DateNum
DATE_QUALITE	QualiteValideeLe
DATE_TRAITE_DOC	TraiteLe
DATE_VISU	VuLe
DateValiditeDebut	PeriodeValiditeDebut
DateValiditeFin	PeriodeValiditeFin
DIGEST	Important
DOC_SIZE	FichierTaille
DOCN	DOCN
DocumentValide	DocumentValide
DuplicationId	DuplicationId
FAMILLE	CategoriesFamille
FichierOrigine	FichierNom
GROUPE	AssigneGroup
HEURE_NUM	HeureNum
Horodatage	Horodatage
ID_DOC	DocumentId
ID_GED	RegroupementId
LIB_DOC	Libelle
LibelleOrigine	LibelleOrigine
LINK	Link
MODE	CanalPrincipal
MultiCompteId	MultiCompteId
NO_ADHERENT	CompteId
NO_AVENANT	NumeroAvenant
NO_CONTRAT	NumeroContrat
NO_DOSSIER	NumeroSinistre
NO_PROPOS	NumeroProposition
numeroGC	NumeroGc
PAGE	FichierNombrePages
PersonneID	PersonneId
PRESENCE_AR	PresenceAr
PREVIEW	Preview
PRIORITE	Priorite
PROVENANCE	Provenance
REF_SECONDAIRE	ReferenceSecondaire
REF_TIERS	RefTiers
ReferenceAttestation	ReferenceAttestation
SENS	Sens
STATUS_INDEXATION	Statut
Tenant	Tenant
TYPE_CONTACT	TypeContact
TYPE_DOC	CategoriesTypeDocument
TypeGarantie	TypeGarantie
VALIDE_QUALITE	QualiteValideeValide
VISIBILITE_EXTERNE	VisibiliteExterne
VisibilitePapsExtranet	VisibilitePapsExtranet
